name,mpg,cylinders,horse_power,weight,acceleration,year,country,displacement
Amc Matador,18.0,6,100,3288,15.5,1971,USA,2.0
Chevrolet Impala,14.0,8,165,4209,12.0,1971,USA,0.0
Pontiac Catalina Brougham,14.0,8,175,4464,11.5,1971,USA,0.0
Ford Galaxie 500,14.0,8,153,4154,13.5,1971,USA,1.0
Plymouth Fury Iii,14.0,8,150,4096,13.0,1971,USA,8.0
Dodge Monaco (Sw),12.0,8,180,4955,11.5,1971,USA,3.0
Ford Country Squire (Sw),13.0,8,170,4746,12.0,1971,USA,0.0
Pontiac Safari (Sw),13.0,8,175,5140,12.0,1971,USA,0.0
Amc Hornet Sportabout (Sw),18.0,6,110,2962,13.5,1971,USA,8.0
Chevrolet Vega (Sw),22.0,4,72,2408,19.0,1971,USA,0.0
Pontiac Firebird,19.0,6,100,3282,15.0,1971,USA,0.0
Ford Mustang,18.0,6,88,3139,14.5,1971,USA,0.0
Mercury Capri 2000,23.0,4,86,2220,14.0,1971,USA,2.0
Opel 1900,28.0,4,90,2123,14.0,1971,Europe,6.0
Peugeot 304,30.0,4,70,2074,19.5,1971,Europe,9.0
Fiat 124B,30.0,4,76,2065,14.5,1971,Europe,8.0
Toyota Corolla 1200,31.0,4,65,1773,19.0,1971,Japan,1.0
Datsun 1200,35.0,4,69,1613,18.0,1971,Japan,2.0
Volkswagen Model 111,27.0,4,60,1834,19.0,1971,Europe,7.0
Plymouth Cricket,26.0,4,70,1955,20.5,1971,USA,1.0
Toyota Corona Hardtop,24.0,4,95,2278,15.5,1972,Japan,3.0
Dodge Colt Hardtop,25.0,4,80,2126,17.0,1972,USA,7.5
Volkswagen Type 3,23.0,4,54,2254,23.5,1972,Europe,7.0
Chevrolet Vega,20.0,4,90,2408,19.5,1972,USA,0.0
Ford Pinto Runabout,21.0,4,86,2226,16.5,1972,USA,2.0
Chevrolet Impala,13.0,8,165,4274,12.0,1972,USA,0.0
Pontiac Catalina,14.0,8,175,4385,12.0,1972,USA,0.0
Plymouth Fury Iii,15.0,8,150,4135,13.5,1972,USA,8.0
Ford Galaxie 500,14.0,8,153,4129,13.0,1972,USA,1.0
Amc Ambassador Sst,17.0,8,150,3672,11.5,1972,USA,4.0
Mercury Marquis,11.0,8,208,4633,11.0,1972,USA,9.0
Buick Lesabre Custom,13.0,8,155,4502,13.5,1972,USA,0.0
Oldsmobile Delta 88 Royale,12.0,8,160,4456,13.5,1972,USA,0.0
Chrysler Newport Royal,13.0,8,190,4422,12.5,1972,USA,0.0
Mazda Rx2 Coupe,19.0,3,97,2330,13.5,1972,Japan,0.0
Amc Matador (Sw),15.0,8,150,3892,12.5,1972,USA,4.0
Chevrolet Chevelle Concours (Sw),13.0,8,130,4098,14.0,1972,USA,7.0
Ford Gran Torino (Sw),13.0,8,140,4294,16.0,1972,USA,2.0
Plymouth Satellite Custom (Sw),14.0,8,150,4077,14.0,1972,USA,8.0
Volvo 145E (Sw),18.0,4,112,2933,14.5,1972,Europe,1.0
Volkswagen 411 (Sw),22.0,4,76,2511,18.0,1972,Europe,1.0
Peugeot 504 (Sw),21.0,4,87,2979,19.5,1972,Europe,0.0
Renault 12 (Sw),26.0,4,69,2189,18.0,1972,Europe,6.0
Ford Pinto (Sw),22.0,4,86,2395,16.0,1972,USA,2.0
Datsun 510 (Sw),28.0,4,92,2288,17.0,1972,Japan,7.0
Toyouta Corona Mark Ii (Sw),23.0,4,97,2506,14.5,1972,Japan,0.0
Dodge Colt (Sw),28.0,4,80,2164,15.0,1972,USA,8.0
Toyota Corolla 1600 (Sw),27.0,4,88,2100,16.5,1972,Japan,7.0
Buick Century 350,13.0,8,175,4100,13.0,1973,USA,0.0
Amc Matador,14.0,8,150,3672,11.5,1973,USA,4.0
Chevrolet Malibu,13.0,8,145,3988,13.0,1973,USA,0.0
Ford Gran Torino,14.0,8,137,4042,14.5,1973,USA,2.0
Dodge Coronet Custom,15.0,8,150,3777,12.5,1973,USA,8.0
Mercury Marquis Brougham,12.0,8,198,4952,11.5,1973,USA,9.0
Chevrolet Caprice Classic,13.0,8,150,4464,12.0,1973,USA,0.0
Ford Ltd,13.0,8,158,4363,13.0,1973,USA,1.0
Plymouth Fury Gran Sedan,14.0,8,150,4237,14.5,1973,USA,8.0
Chrysler New Yorker Brougham,13.0,8,215,4735,11.0,1973,USA,0.0
Buick Electra 225 Custom,12.0,8,225,4951,11.0,1973,USA,5.0
Amc Ambassador Brougham,13.0,8,175,3821,11.0,1973,USA,0.0
Plymouth Valiant,18.0,6,105,3121,16.5,1973,USA,5.0
Chevrolet Nova Custom,16.0,6,100,3278,18.0,1973,USA,0.0
Amc Hornet,18.0,6,100,2945,16.0,1973,USA,2.0
Ford Maverick,18.0,6,88,3021,16.5,1973,USA,0.0
Plymouth Duster,23.0,6,95,2904,16.0,1973,USA,8.0
Volkswagen Super Beetle,26.0,4,46,1950,21.0,1973,Europe,7.0
Chevrolet Impala,11.0,8,150,4997,14.0,1973,USA,0.0
Ford Country,12.0,8,167,4906,12.5,1973,USA,0.0
Plymouth Custom Suburb,13.0,8,170,4654,13.0,1973,USA,0.0
Oldsmobile Vista Cruiser,12.0,8,180,4499,12.5,1973,USA,0.0
Amc Gremlin,18.0,6,100,2789,15.0,1973,USA,2.0
Toyota Carina,20.0,4,88,2279,19.0,1973,Japan,7.0
Chevrolet Vega,21.0,4,72,2401,19.5,1973,USA,0.0
Datsun 610,22.0,4,94,2379,16.5,1973,Japan,8.0
Maxda Rx3,18.0,3,90,2124,13.5,1973,Japan,0.0
Ford Pinto,19.0,4,85,2310,18.5,1973,USA,2.0
Mercury Capri V6,21.0,6,107,2472,14.0,1973,USA,5.0
Fiat 124 Sport Coupe,26.0,4,90,2265,15.5,1973,Europe,8.0
Chevrolet Monte Carlo S,15.0,8,145,4082,13.0,1973,USA,0.0
Pontiac Grand Prix,16.0,8,230,4278,9.5,1973,USA,0.0
Fiat 128,29.0,4,49,1867,19.5,1973,Europe,8.0
Opel Manta,24.0,4,75,2158,15.5,1973,Europe,6.0
Audi 100Ls,20.0,4,91,2582,14.0,1973,Europe,4.0
Volvo 144Ea,19.0,4,112,2868,15.5,1973,Europe,1.0
Dodge Dart Custom,15.0,8,150,3399,11.0,1973,USA,8.0
Saab 99Le,24.0,4,110,2660,14.0,1973,Europe,1.0
Toyota Mark Ii,20.0,6,122,2807,13.5,1973,Japan,6.0
Oldsmobile Omega,11.0,8,180,3664,11.0,1973,USA,0.0
Plymouth Duster,20.0,6,95,3102,16.5,1974,USA,8.0
Ford Maverick,21.0,6,NULL,2875,17.0,1974,USA,0.0
Amc Hornet,19.0,6,100,2901,16.0,1974,USA,2.0
Chevrolet Nova,15.0,6,100,3336,17.0,1974,USA,0.0
Datsun B210,31.0,4,67,1950,19.0,1974,Japan,9.0
Ford Pinto,26.0,4,80,2451,16.5,1974,USA,2.0
Toyota Corolla 1200,32.0,4,65,1836,21.0,1974,Japan,1.0
Chevrolet Vega,25.0,4,75,2542,17.0,1974,USA,0.0
Chevrolet Chevelle Malibu Classic,16.0,6,100,3781,17.0,1974,USA,0.0
Amc Matador,16.0,6,110,3632,18.0,1974,USA,8.0
Plymouth Satellite Sebring,18.0,6,105,3613,16.5,1974,USA,5.0
Ford Gran Torino,16.0,8,140,4141,14.0,1974,USA,2.0
Buick Century Luxus (Sw),13.0,8,150,4699,14.5,1974,USA,0.0
Dodge Coronet Custom (Sw),14.0,8,150,4457,13.5,1974,USA,8.0
Ford Gran Torino (Sw),14.0,8,140,4638,16.0,1974,USA,2.0
Amc Matador (Sw),14.0,8,150,4257,15.5,1974,USA,4.0
Audi Fox,29.0,4,83,2219,16.5,1974,Europe,8.0
Volkswagen Dasher,26.0,4,67,1963,15.5,1974,Europe,9.0
Opel Manta,26.0,4,78,2300,14.5,1974,Europe,7.0
Toyota Corona,31.0,4,52,1649,16.5,1974,Japan,6.0
Datsun 710,32.0,4,61,2003,19.0,1974,Japan,3.0
Dodge Colt,28.0,4,75,2125,14.5,1974,USA,0.0
Fiat 128,24.0,4,75,2108,15.5,1974,Europe,0.0
Fiat 124 Tc,26.0,4,75,2246,14.0,1974,Europe,6.0
Honda Civic,24.0,4,97,2489,15.0,1974,Japan,0.0
Subaru,26.0,4,93,2391,15.5,1974,Japan,8.0
Fiat X1.9,31.0,4,67,2000,16.0,1974,Europe,9.0
Plymouth Valiant Custom,19.0,6,95,3264,16.0,1975,USA,5.0
Chevrolet Nova,18.0,6,105,3459,16.0,1975,USA,0.0
Mercury Monarch,15.0,6,72,3432,21.0,1975,USA,0.0
Ford Maverick,15.0,6,72,3158,19.5,1975,USA,0.0
Pontiac Catalina,16.0,8,170,4668,11.5,1975,USA,0.0
Chevrolet Bel Air,15.0,8,145,4440,14.0,1975,USA,0.0
Plymouth Grand Fury,16.0,8,150,4498,14.5,1975,USA,8.0
Ford Ltd,14.0,8,148,4657,13.5,1975,USA,1.0
Buick Century,17.0,6,110,3907,21.0,1975,USA,1.0
Chevroelt Chevelle Malibu,16.0,6,105,3897,18.5,1975,USA,0.0
Amc Matador,15.0,6,110,3730,19.0,1975,USA,8.0
Plymouth Fury,18.0,6,95,3785,19.0,1975,USA,5.0
Buick Skyhawk,21.0,6,110,3039,15.0,1975,USA,1.0
Chevrolet Monza 2+2,20.0,8,110,3221,13.5,1975,USA,2.0
Ford Mustang Ii,13.0,8,129,3169,12.0,1975,USA,2.0
Toyota Corolla,29.0,4,75,2171,16.0,1975,Japan,7.0
Ford Pinto,23.0,4,83,2639,17.0,1975,USA,0.0
Amc Gremlin,20.0,6,100,2914,16.0,1975,USA,2.0
Pontiac Astro,23.0,4,78,2592,18.5,1975,USA,0.0
Toyota Corona,24.0,4,96,2702,13.5,1975,Japan,4.0
Volkswagen Dasher,25.0,4,71,2223,16.5,1975,Europe,0.0
Datsun 710,24.0,4,97,2545,17.0,1975,Japan,9.0
Ford Pinto,18.0,6,97,2984,14.5,1975,USA,1.0
Volkswagen Rabbit,29.0,4,70,1937,14.0,1975,Europe,0.0
Amc Pacer,19.0,6,90,3211,17.0,1975,USA,2.0
Audi 100Ls,23.0,4,95,2694,15.0,1975,Europe,5.0
Peugeot 504,23.0,4,88,2957,17.0,1975,Europe,0.0
Volvo 244Dl,22.0,4,98,2945,14.5,1975,Europe,1.0
Saab 99Le,25.0,4,115,2671,13.5,1975,Europe,1.0
Honda Civic Cvcc,33.0,4,53,1795,17.5,1975,Japan,1.0
Fiat 131,28.0,4,86,2464,15.5,1976,Europe,7.0
Opel 1900,25.0,4,81,2220,16.9,1976,Europe,6.0
Capri Ii,25.0,4,92,2572,14.9,1976,USA,0.0
Dodge Colt,26.0,4,79,2255,17.7,1976,USA,8.0
Renault 12Tl,27.0,4,83,2202,15.3,1976,Europe,1.0
Chevrolet Chevelle Malibu Classic,17.5,8,140,4215,13.0,1976,USA,5.0
Dodge Coronet Brougham,16.0,8,150,4190,13.0,1976,USA,8.0
Amc Matador,15.5,8,120,3962,13.9,1976,USA,4.0
Ford Gran Torino,14.5,8,152,4215,12.8,1976,USA,1.0
Plymouth Valiant,22.0,6,100,3233,15.4,1976,USA,5.0
Chevrolet Nova,22.0,6,105,3353,14.5,1976,USA,0.0
Ford Maverick,24.0,6,81,3012,17.6,1976,USA,0.0
Amc Hornet,22.5,6,90,3085,17.6,1976,USA,2.0
Chevrolet Chevette,29.0,4,52,2035,22.2,1976,USA,5.0
Chevrolet Woody,24.5,4,60,2164,22.1,1976,USA,8.0
Vw Rabbit,29.0,4,70,1937,14.2,1976,Europe,0.0
Honda Civic,33.0,4,53,1795,17.4,1976,Japan,1.0
Dodge Aspen Se,20.0,6,100,3651,17.7,1976,USA,5.0
Ford Granada Ghia,18.0,6,78,3574,21.0,1976,USA,0.0
Pontiac Ventura Sj,18.5,6,110,3645,16.2,1976,USA,0.0
Amc Pacer D/L,17.5,6,95,3193,17.8,1976,USA,8.0
Volkswagen Rabbit,29.5,4,71,1825,12.2,1976,Europe,7.0
Datsun B-210,32.0,4,70,1990,17.0,1976,Japan,5.0
Toyota Corolla,28.0,4,75,2155,16.4,1976,Japan,7.0
Ford Pinto,26.5,4,72,2565,13.6,1976,USA,0.0
Volvo 245,20.0,4,102,3150,15.7,1976,Europe,0.0
Plymouth Volare Premier V8,13.0,8,150,3940,13.2,1976,USA,8.0
Peugeot 504,19.0,4,88,3270,21.9,1976,Europe,0.0
Toyota Mark Ii,19.0,6,108,2930,15.5,1976,Japan,6.0
Mercedes-Benz 280S,16.5,6,120,3820,16.7,1976,Europe,8.0
Cadillac Seville,16.5,8,180,4380,12.1,1976,USA,0.0
Chevy C10,13.0,8,145,4055,12.0,1976,USA,0.0
Ford F108,13.0,8,130,3870,15.0,1976,USA,2.0
Dodge D100,13.0,8,150,3755,14.0,1976,USA,8.0
Honda Accord Cvcc,31.5,4,68,2045,18.5,1977,Japan,8.0
Buick Opel Isuzu Deluxe,30.0,4,80,2155,14.8,1977,USA,1.0
Renault 5 Gtl,36.0,4,58,1825,18.6,1977,Europe,9.0
Plymouth Arrow Gs,25.5,4,96,2300,15.5,1977,USA,2.0
Datsun F-10 Hatchback,33.5,4,70,1945,16.8,1977,Japan,5.0
Chevrolet Caprice Classic,17.5,8,145,3880,12.5,1977,USA,5.0
Oldsmobile Cutlass Supreme,17.0,8,110,4060,19.0,1977,USA,0.0
Dodge Monaco Brougham,15.5,8,145,4140,13.7,1977,USA,8.0
Mercury Cougar Brougham,15.0,8,130,4295,14.9,1977,USA,2.0
Chevrolet Concours,17.5,6,110,3520,16.4,1977,USA,0.0
Buick Skylark,20.5,6,105,3425,16.9,1977,USA,1.0
Plymouth Volare Custom,19.0,6,100,3630,17.7,1977,USA,5.0
Ford Granada,18.5,6,98,3525,19.0,1977,USA,0.0
Pontiac Grand Prix Lj,16.0,8,180,4220,11.1,1977,USA,0.0
Chevrolet Monte Carlo Landau,15.5,8,170,4165,11.4,1977,USA,0.0
Chrysler Cordoba,15.5,8,190,4325,12.2,1977,USA,0.0
Ford Thunderbird,16.0,8,149,4335,14.5,1977,USA,1.0
Volkswagen Rabbit Custom,29.0,4,78,1940,14.5,1977,Europe,7.0
Pontiac Sunbird Coupe,24.5,4,88,2740,16.0,1977,USA,1.0
Toyota Corolla Liftback,26.0,4,75,2265,18.2,1977,Japan,7.0
Ford Mustang Ii 2+2,25.5,4,89,2755,15.8,1977,USA,0.0
Chevrolet Chevette,30.5,4,63,2051,17.0,1977,USA,8.0
Dodge Colt M/M,33.5,4,83,2075,15.9,1977,USA,8.0
Subaru Dl,30.0,4,67,1985,16.4,1977,Japan,7.0
Volkswagen Dasher,30.5,4,78,2190,14.1,1977,Europe,7.0
Datsun 810,22.0,6,97,2815,14.5,1977,Japan,6.0
Bmw 320I,21.5,4,110,2600,12.8,1977,Europe,1.0
Mazda Rx-4,21.5,3,110,2720,13.5,1977,Japan,0.0
Volkswagen Rabbit Custom Diesel,43.1,4,48,1985,21.5,1978,Europe,0.0
Ford Fiesta,36.1,4,66,1800,14.4,1978,USA,8.0
Mazda Glc Deluxe,32.8,4,52,1985,19.4,1978,Japan,8.0
Datsun B210 Gx,39.4,4,70,2070,18.6,1978,Japan,5.0
Honda Civic Cvcc,36.1,4,60,1800,16.4,1978,Japan,1.0
Oldsmobile Cutlass Salon Brougham,19.9,8,110,3365,15.5,1978,USA,0.0
Dodge Diplomat,19.4,8,140,3735,13.2,1978,USA,8.0
Mercury Monarch Ghia,20.2,8,139,3570,12.8,1978,USA,2.0
Pontiac Phoenix Lj,19.2,6,105,3535,19.2,1978,USA,1.0
Chevrolet Malibu,20.5,6,95,3155,18.2,1978,USA,0.0
Ford Fairmont (Auto),20.2,6,85,2965,15.8,1978,USA,0.0
Ford Fairmont (Man),25.1,4,88,2720,15.4,1978,USA,0.0
Plymouth Volare,20.5,6,100,3430,17.2,1978,USA,5.0
Amc Concord,19.4,6,90,3210,17.2,1978,USA,2.0
Buick Century Special,20.6,6,105,3380,15.8,1978,USA,1.0
Mercury Zephyr,20.8,6,85,3070,16.7,1978,USA,0.0
Dodge Aspen,18.6,6,110,3620,18.7,1978,USA,5.0
Amc Concord D/L,18.1,6,120,3410,15.1,1978,USA,8.0
Chevrolet Monte Carlo Landau,19.2,8,145,3425,13.2,1978,USA,5.0
Buick Regal Sport Coupe (Turbo),17.7,6,165,3445,13.4,1978,USA,1.0
Ford Futura,18.1,8,139,3205,11.2,1978,USA,2.0
Dodge Magnum Xe,17.5,8,140,4080,13.7,1978,USA,8.0
Chevrolet Chevette,30.0,4,68,2155,16.5,1978,USA,8.0
Toyota Corona,27.5,4,95,2560,14.2,1978,Japan,4.0
Datsun 510,27.2,4,97,2300,14.7,1978,Japan,9.0
Dodge Omni,30.9,4,75,2230,14.5,1978,USA,5.0
Toyota Celica Gt Liftback,21.1,4,95,2515,14.8,1978,Japan,4.0
Plymouth Sapporo,23.2,4,105,2745,16.7,1978,USA,6.0
Oldsmobile Starfire Sx,23.8,4,85,2855,17.6,1978,USA,1.0
Datsun 200-Sx,23.9,4,97,2405,14.9,1978,Japan,9.0
Audi 5000,20.3,5,103,2830,15.9,1978,Europe,1.0
Volvo 264Gl,17.0,6,125,3140,13.6,1978,Europe,3.0
Saab 99Gle,21.6,4,115,2795,15.7,1978,Europe,1.0
Peugeot 604Sl,16.2,6,133,3410,15.8,1978,Europe,3.0
Volkswagen Scirocco,31.5,4,71,1990,14.9,1978,Europe,9.0
Honda Accord Lx,29.5,4,68,2135,16.6,1978,Japan,8.0
Pontiac Lemans V6,21.5,6,115,3245,15.4,1979,USA,1.0
Mercury Zephyr 6,19.8,6,85,2990,18.2,1979,USA,0.0
Ford Fairmont 4,22.3,4,88,2890,17.3,1979,USA,0.0
Amc Concord Dl 6,20.2,6,90,3265,18.2,1979,USA,2.0
Dodge Aspen 6,20.6,6,110,3360,16.6,1979,USA,5.0
Chevrolet Caprice Classic,17.0,8,130,3840,15.4,1979,USA,5.0
Ford Ltd Landau,17.6,8,129,3725,13.4,1979,USA,2.0
Mercury Grand Marquis,16.5,8,138,3955,13.2,1979,USA,1.0
Dodge St. Regis,18.2,8,135,3830,15.2,1979,USA,8.0
Buick Estate Wagon (Sw),16.9,8,155,4360,14.9,1979,USA,0.0
Ford Country Squire (Sw),15.5,8,142,4054,14.3,1979,USA,1.0
Chevrolet Malibu Classic (Sw),19.2,8,125,3605,15.0,1979,USA,7.0
Chrysler Lebaron Town @ Country (Sw),18.5,8,150,3940,13.0,1979,USA,0.0
Vw Rabbit Custom,31.9,4,71,1925,14.0,1979,Europe,9.0
Maxda Glc Deluxe,34.1,4,65,1975,15.2,1979,Japan,6.0
Dodge Colt Hatchback Custom,35.7,4,80,1915,14.4,1979,USA,8.0
Amc Spirit Dl,27.4,4,80,2670,15.0,1979,USA,1.0
Mercedes Benz 300D,25.4,5,77,3530,20.1,1979,Europe,3.0
Cadillac Eldorado,23.0,8,125,3900,17.4,1979,USA,0.0
Peugeot 504,27.2,4,71,3190,24.8,1979,Europe,1.0
Oldsmobile Cutlass Salon Brougham,23.9,8,90,3420,22.2,1979,USA,0.0
Plymouth Horizon,34.2,4,70,2200,13.2,1979,USA,5.0
Plymouth Horizon Tc3,34.5,4,70,2150,14.9,1979,USA,5.0
Datsun 210,31.8,4,65,2020,19.2,1979,Japan,5.0
Fiat Strada Custom,37.3,4,69,2130,14.7,1979,Europe,1.0
Buick Skylark Limited,28.4,4,90,2670,16.0,1979,USA,1.0
Chevrolet Citation,28.8,6,115,2595,11.3,1979,USA,3.0
Oldsmobile Omega Brougham,26.8,6,115,2700,12.9,1979,USA,3.0
Pontiac Phoenix,33.5,4,90,2556,13.2,1979,USA,1.0
Vw Rabbit,41.5,4,76,2144,14.7,1980,Europe,8.0
Toyota Corolla Tercel,38.1,4,60,1968,18.8,1980,Japan,9.0
Chevrolet Chevette,32.1,4,70,2120,15.5,1980,USA,8.0
Datsun 310,37.2,4,65,2019,16.4,1980,Japan,6.0
Chevrolet Citation,28.0,4,90,2678,16.5,1980,USA,1.0
Ford Fairmont,26.4,4,88,2870,18.1,1980,USA,0.0
Amc Concord,24.3,4,90,3003,20.1,1980,USA,1.0
Dodge Aspen,19.1,6,90,3381,18.7,1980,USA,5.0
Audi 4000,34.3,4,78,2188,15.8,1980,Europe,7.0
Toyota Corona Liftback,29.8,4,90,2711,15.5,1980,Japan,4.0
Mazda 626,31.3,4,75,2542,17.5,1980,Japan,0.0
Datsun 510 Hatchback,37.0,4,92,2434,15.0,1980,Japan,9.0
Toyota Corolla,32.2,4,75,2265,15.2,1980,Japan,8.0
Mazda Glc,46.6,4,65,2110,17.9,1980,Japan,6.0
Dodge Colt,27.9,4,105,2800,14.4,1980,USA,6.0
Datsun 210,40.8,4,65,2110,19.2,1980,Japan,5.0
Vw Rabbit C (Diesel),44.3,4,48,2085,21.7,1980,Europe,0.0
Vw Dasher (Diesel),43.4,4,48,2335,23.7,1980,Europe,0.0
Audi 5000S (Diesel),36.4,5,67,2950,19.9,1980,Europe,1.0
Mercedes-Benz 240D,30.0,4,67,3250,21.8,1980,Europe,6.0
Honda Civic 1500 Gl,44.6,4,67,1850,13.8,1980,Japan,1.0
Renault Lecar Deluxe,40.9,4,NULL,1835,17.3,1980,Europe,5.0
Subaru Dl,33.8,4,67,2145,18.0,1980,Japan,7.0
Vokswagen Rabbit,29.8,4,62,1845,15.3,1980,Europe,9.0
Datsun 280-Zx,32.7,6,132,2910,11.4,1980,Japan,8.0
Mazda Rx-7 Gs,23.7,3,100,2420,12.5,1980,Japan,0.0
Triumph Tr7 Coupe,35.0,4,88,2500,15.1,1980,Europe,2.0
Ford Mustang Cobra,23.6,4,NULL,2905,14.3,1980,USA,0.0
Honda Accord,32.4,4,72,2290,17.0,1980,Japan,7.0
Plymouth Reliant,27.2,4,84,2490,15.7,1981,USA,5.0
Buick Skylark,26.6,4,84,2635,16.4,1981,USA,1.0
Dodge Aries Wagon (Sw),25.8,4,92,2620,14.4,1981,USA,6.0
Chevrolet Citation,23.5,6,110,2725,12.6,1981,USA,3.0
Plymouth Reliant,30.0,4,84,2385,12.9,1981,USA,5.0
Toyota Starlet,39.1,4,58,1755,16.9,1981,Japan,9.0
Plymouth Champ,39.0,4,64,1875,16.4,1981,USA,6.0
Honda Civic 1300,35.1,4,60,1760,16.1,1981,Japan,1.0
Subaru,32.3,4,67,2065,17.8,1981,Japan,7.0
Datsun 210 Mpg,37.0,4,65,1975,19.4,1981,Japan,5.0
Toyota Tercel,37.7,4,62,2050,17.3,1981,Japan,9.0
Mazda Glc 4,34.1,4,68,1985,16.0,1981,Japan,1.0
Plymouth Horizon 4,34.7,4,63,2215,14.9,1981,USA,5.0
Ford Escort 4W,34.4,4,65,2045,16.2,1981,USA,8.0
Ford Escort 2H,29.9,4,65,2380,20.7,1981,USA,8.0
Volkswagen Jetta,33.0,4,74,2190,14.2,1981,Europe,5.0
Renault 18I,34.5,4,NULL,2320,15.8,1981,Europe,0.0
Honda Prelude,33.7,4,75,2210,14.4,1981,Japan,7.0
Toyota Corolla,32.4,4,75,2350,16.8,1981,Japan,8.0
Datsun 200Sx,32.9,4,100,2615,14.8,1981,Japan,9.0
Mazda 626,31.6,4,74,2635,18.3,1981,Japan,0.0
Peugeot 505S Turbo Diesel,28.1,4,80,3230,20.4,1981,Europe,1.0
Saab 900S,NULL,4,110,2800,15.4,1981,Europe,1.0
Volvo Diesel,30.7,6,76,3160,19.6,1981,Europe,5.0
Toyota Cressida,25.4,6,116,2900,12.6,1981,Japan,8.0
Datsun 810 Maxima,24.2,6,120,2930,13.8,1981,Japan,6.0
Buick Century,22.4,6,110,3415,15.8,1981,USA,1.0
Oldsmobile Cutlass Ls,26.6,8,105,3725,19.0,1981,USA,0.0
Ford Granada Gl,20.2,6,88,3060,17.1,1981,USA,0.0
Chrysler Lebaron Salon,17.6,6,85,3465,16.6,1981,USA,5.0
Chevrolet Cavalier,28.0,4,88,2605,19.6,1982,USA,2.0
Chevrolet Cavalier Wagon,27.0,4,88,2640,18.6,1982,USA,2.0
Chevrolet Cavalier 2-Door,34.0,4,88,2395,18.0,1982,USA,2.0
Pontiac J2000 Se Hatchback,31.0,4,85,2575,16.2,1982,USA,2.0
Dodge Aries Se,29.0,4,84,2525,16.0,1982,USA,5.0
Pontiac Phoenix,27.0,4,90,2735,18.0,1982,USA,1.0
Ford Fairmont Futura,24.0,4,92,2865,16.4,1982,USA,0.0
Amc Concord Dl,23.0,4,NULL,3035,20.5,1982,USA,1.0
